text,true_label,predicted_label,confidence,positive_probability,negative_probability,correct
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",NEGATIVE,NEGATIVE,0.9673,0.0327,0.9673,True
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,POSITIVE,POSITIVE,0.9971,0.9971,0.0029,True
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",POSITIVE,POSITIVE,0.8617,0.8617,0.1383,True
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,POSITIVE,POSITIVE,0.5494,0.5494,0.4506,True
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",POSITIVE,NEGATIVE,0.994,0.006,0.994,False
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",POSITIVE,POSITIVE,0.7334,0.7334,0.2666,True
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,POSITIVE,NEGATIVE,0.7852,0.2148,0.7852,False
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",POSITIVE,NEGATIVE,0.8648,0.1352,0.8648,False
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,POSITIVE,POSITIVE,0.9973,0.9973,0.0027,True
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",POSITIVE,POSITIVE,0.9989,0.9989,0.0011,True
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",POSITIVE,NEGATIVE,0.9908,0.0092,0.9908,False
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",POSITIVE,NEGATIVE,0.8373,0.1627,0.8373,False
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",POSITIVE,NEGATIVE,0.8346,0.1654,0.8346,False
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",POSITIVE,NEGATIVE,0.9919,0.0081,0.9919,False
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",POSITIVE,NEGATIVE,0.8901,0.1099,0.8901,False
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",POSITIVE,NEGATIVE,0.9694,0.0306,0.9694,False
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",POSITIVE,NEGATIVE,0.9634,0.0366,0.9634,False
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",POSITIVE,NEGATIVE,0.8221,0.1779,0.8221,False
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",POSITIVE,POSITIVE,0.9932,0.9932,0.0068,True
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",POSITIVE,POSITIVE,0.9704,0.9704,0.0296,True
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",POSITIVE,NEGATIVE,0.9233,0.0767,0.9233,False
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",POSITIVE,NEGATIVE,0.9243,0.0757,0.9243,False
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),POSITIVE,POSITIVE,0.7646,0.7646,0.2354,True
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",POSITIVE,POSITIVE,0.9849,0.9849,0.0151,True
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,POSITIVE,POSITIVE,0.9707,0.9707,0.0293,True
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",POSITIVE,POSITIVE,0.5248,0.5248,0.4752,True
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",POSITIVE,POSITIVE,0.6929,0.6929,0.3071,True
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",POSITIVE,NEGATIVE,0.9381,0.0619,0.9381,False
