text,predicted_label,confidence,positive_probability,negative_probability
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",NEGATIVE,0.9906,0.0094,0.9906
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",POSITIVE,0.5638,0.5638,0.4362
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",POSITIVE,0.8816,0.8816,0.1184
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",NEGATIVE,0.9986,0.0014,0.9986
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,POSITIVE,0.9996,0.9996,0.0004
"When this investment is in place , Atria plans to expand into the Moscow market .",POSITIVE,0.994,0.994,0.006
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",NEGATIVE,0.6386,0.3614,0.6386
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",POSITIVE,0.9434,0.9434,0.0566
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,NEGATIVE,0.9824,0.0176,0.9824
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,NEGATIVE,0.9205,0.0795,0.9205
"- So , the sales growth of cars considerably influence on the tires market '' .",POSITIVE,0.9983,0.9983,0.0017
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",NEGATIVE,0.9903,0.0097,0.9903
"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",POSITIVE,0.7338,0.7338,0.2662
"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",NEGATIVE,0.5846,0.4154,0.5846
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",NEGATIVE,0.9974,0.0026,0.9974
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",POSITIVE,0.6678,0.6678,0.3322
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,NEGATIVE,0.9819,0.0181,0.9819
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",NEGATIVE,0.9587,0.0413,0.9587
The fuel purchase contracts have been signed with three months ' delivery from this September to November .,NEGATIVE,0.9838,0.0162,0.9838
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,POSITIVE,0.878,0.878,0.122
No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,NEGATIVE,0.9683,0.0317,0.9683
Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,NEGATIVE,0.8298,0.1702,0.8298
"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi .",NEGATIVE,0.8769,0.1231,0.8769
Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,POSITIVE,0.9431,0.9431,0.0569
"Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .",NEGATIVE,0.9847,0.0153,0.9847
"In 2007 , Contempus generated revenue of NOK 69.3 ( approx .",NEGATIVE,0.8796,0.1204,0.8796
Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,NEGATIVE,0.9761,0.0239,0.9761
Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .,NEGATIVE,0.9952,0.0048,0.9952
"M-real generated a turnover of EUR5 .6 bn in 2006 and has 15,500 employees .",POSITIVE,0.874,0.874,0.126
The firm generated sales of 187 mln eur in 2005 .,NEGATIVE,0.832,0.168,0.832
Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .,NEGATIVE,0.749,0.251,0.749
