row_id,text,true_label,predicted_label,positive_probability,negative_probability,correct
870,"Jawad Williams scored 23 points in an impressive debut for Jerusalem , with Jason Rich adding 18 and Yuval Naimi chipping in with 16 points for Hapoel , which visits the yellow-and-blue next week .",POSITIVE,POSITIVE,0.7668,0.2332,True
1349,"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",NEGATIVE,POSITIVE,0.613,0.387,False
1854,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,NEGATIVE,NEGATIVE,0.2618,0.7382,True
453,The bank sees a potential for Getinge share to rise .,POSITIVE,POSITIVE,0.6528,0.3472,True
1866,Export declined by 6 percent to 16.4 million liters .,NEGATIVE,POSITIVE,0.6424,0.3576,False
1690,The company said it estimates to make a slight profit thanks to cost-cutting measures .,POSITIVE,POSITIVE,0.6375,0.3625,True
769,Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,POSITIVE,POSITIVE,0.7464,0.2536,True
39,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",POSITIVE,POSITIVE,0.7069,0.2931,True
1328,"Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites .",NEGATIVE,NEGATIVE,0.2353,0.7647,True
1514,"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+ñmeri , the Northernmost part of the Gulf of Bothnia .",NEGATIVE,POSITIVE,0.54,0.46,False
709,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",POSITIVE,POSITIVE,0.6722,0.3278,True
48,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",POSITIVE,POSITIVE,0.7288,0.2712,True
1692,"The previously concluded adaptation measures concerning the other personnel are adequate for the time being , Raute said .",POSITIVE,POSITIVE,0.5215,0.4785,True
1583,"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",NEGATIVE,POSITIVE,0.5466,0.4534,False
1408,Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,NEGATIVE,NEGATIVE,0.3072,0.6928,True
641,Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,POSITIVE,POSITIVE,0.6381,0.3619,True
1050,`` We are pleased to welcome Tapeks Noma into Cramo group .,POSITIVE,POSITIVE,0.7507,0.2493,True
1950,"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",NEGATIVE,POSITIVE,0.5703,0.4297,False
1623,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",NEGATIVE,NEGATIVE,0.1351,0.8649,True
1292,"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",POSITIVE,POSITIVE,0.6893,0.3107,True
1510,Possible personnel reductions concern approximately 104 people .,NEGATIVE,NEGATIVE,0.365,0.635,True
1743,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",NEGATIVE,NEGATIVE,0.221,0.779,True
1333,"HELSINKI , Finland , Sept. 18 , 2009 ( GLOBE NEWSWIRE ) -- Ixonos Plc expands the company 's smartphone R&D services and establishes a new next-generation smartphone design unit in connection with Ixonos ' site in Jyvaeskylae .",POSITIVE,POSITIVE,0.7194,0.2806,True
986,"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",POSITIVE,POSITIVE,0.6991,0.3009,True
1136,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,POSITIVE,POSITIVE,0.7376,0.2624,True
1906,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,NEGATIVE,NEGATIVE,0.2549,0.7451,True
714,Sports equipment sales also progressed well owing to the prolonged winter season .,POSITIVE,POSITIVE,0.7142,0.2858,True
1810,Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,NEGATIVE,NEGATIVE,0.2368,0.7632,True
1233,Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,POSITIVE,POSITIVE,0.816,0.184,True
1291,"Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said .",POSITIVE,POSITIVE,0.8205,0.1795,True
776,fi is developing cooperation in keyword advertising with Microsoft .,POSITIVE,POSITIVE,0.758,0.242,True
834,TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .,POSITIVE,POSITIVE,0.7203,0.2797,True
570,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,NEGATIVE,POSITIVE,0.5161,0.4839,False
1928,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,NEGATIVE,NEGATIVE,0.2984,0.7016,True
398,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .,NEGATIVE,POSITIVE,0.5409,0.4591,False
1415,"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",NEGATIVE,NEGATIVE,0.1701,0.8299,True
1,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,POSITIVE,POSITIVE,0.7929,0.2071,True
1255,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .",POSITIVE,NEGATIVE,0.4265,0.5735,False
190,"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",POSITIVE,POSITIVE,0.56,0.44,True
1090,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",NEGATIVE,NEGATIVE,0.3516,0.6484,True
1860,The net sales decreased to EUR 49.8 million from EUR 59.9 million .,NEGATIVE,NEGATIVE,0.258,0.742,True
1477,"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",NEGATIVE,NEGATIVE,0.1477,0.8523,True
1020,"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",POSITIVE,POSITIVE,0.7671,0.2329,True
926,"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier .",POSITIVE,POSITIVE,0.7262,0.2738,True
